#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-14T19:27:36 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-14T19:27:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-order=I&-c.r=  2&-c.geom=r&-out.src=J/A+A/685/A106/emain&-source=J/A+A/685/A106/emain&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Exp&-out=zBest&-out=CR500&-out=CTS500&-out=F500&-out=L500&-out=KT&-out=Mgas500&-out=YX500&-out=M500&-out=Fgas500&-out=R500&-out.max=1000&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36850106
#Name: J/A+A/685/A106
#Title: eRASS. Galaxy clusters and groups in WGH (Bulbul+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	creator=Bulbul E.	    First author or institution
#INFO	cites=bibcode:2024A&A...685A.106B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/685/A106	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36850106	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_685_A106_emain:
#Name: J/A+A/685/A106/emain
#Title: Primary galaxy clusters and groups catalog
#Column	Name	(A23)	Source name, 1eRASS JHHMMSS.s+DDMMSS	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F15.11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F6.1)	Average exposure	[ucd=time.expo]
#Column	zBest	(F7.4)	Best available redshift	[ucd=src.redshift]
#Column	CR500	(F8.3)	0.2-2.3keV count rate within R500	[ucd=phot.count;em.X-ray]
#Column	CTS500	(F8.1)	0.2-2.3keV counts within R500	[ucd=phot.count;em.X-ray]
#Column	F500	(F10.3)	? 0.2-2.3keV flux within R500	[ucd=phot.flux;em.X-ray]
#Column	L500	(F9.3)	? 0.2-2.3keV luminosity within R500	[ucd=phys.luminosity;em.X-ray]
#Column	KT	(F6.2)	? Temperature measured by MBProj2D	[ucd=phys.temperature]
#Column	Mgas500	(F7.2)	? Calibrated cluster gas mass within R500	[ucd=phys.mass]
#Column	YX500	(F8.2)	? The mass proxy within R500	[ucd=phys.mass]
#Column	M500	(F7.2)	? CLuster total mass M500 from eROCOP	[ucd=phys.mass]
#Column	Fgas500	(F6.3)	? Cluster gas mass fraction within R500	[ucd=phys.mass]
#Column	R500	(I5)	? Overdensity radius R500 from eROCOP	[ucd=phys.size.radius]
Name;RAJ2000;DEJ2000;Exp;zBest;CR500;CTS500;F500;L500;KT;Mgas500;YX500;M500;Fgas500;R500
1eRASS J000220.3-435849;000.58463012346;-43.98033320159;  97.0; 0.0397;   2.781;   269.8;   243.132;    9.714;  1.08;  50.55;   61.53;   9.03; 0.056;  674
1eRASS J000223.3-820818;000.59747043646;-82.13836968020; 183.5; 0.1557;   0.227;    41.7;    21.278;   17.640;      ;  47.57;    0.00;   9.94; 0.047;  670
1eRASS J000236.8-471113;000.65368061854;-47.18706637649; 113.5; 0.1701;   0.203;    23.1;    19.126;   15.206;      ;  38.30;    0.00;   8.41; 0.045;  630
1eRASS J000240.5-344030;000.66901700606;-34.67521743111;  87.4; 0.1134;   0.690;    60.3;    61.233;   21.653;  1.24;  78.29;  102.25;  13.46; 0.057;  751
1eRASS J000252.6-680407;000.71943778793;-68.06888333384; 160.2; 0.1079;   0.463;    74.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000313.1-355607;000.80473017144;-35.93530747025;  92.1; 0.0500;   6.714;   618.5;   617.795;   39.103;  1.94; 135.18;  254.56;  22.77; 0.059;  914
1eRASS J000329.4-525445;000.87286441099;-52.91274753025; 126.3; 0.7836;   0.104;    13.2;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000350.1-695852;000.95881364072;-69.98113066917; 155.2; 0.0854;   0.234;    36.3;    19.921;    4.373;      ;  21.40;    0.00;   4.19; 0.050;  514
1eRASS J000354.1-680504;000.97581917346;-68.08457964106; 161.2; 0.2044;   0.189;    30.4;    17.899;   22.385;      ;  46.74;    0.00;  11.24; 0.040;  686
1eRASS J000413.3-344222;001.05578543500;-34.70637530332;  83.2; 0.6313;   0.083;     6.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000414.3-752630;001.05958776166;-75.44181108843; 161.7; 0.1982;   0.085;    13.7;     7.958;    9.812;      ;   6.47;    0.00;   6.47; 0.014;  572
1eRASS J000416.3-642519;001.06801965632;-64.42215221758; 134.4; 0.1178;   1.239;   166.5;   111.522;   44.308;  1.40;  99.60;  153.31;  24.09; 0.042;  911
1eRASS J000425.0-601518;001.10432614864;-60.25506525227; 130.4; 0.1837;   0.062;     8.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000425.6-561726;001.10699134531;-56.29063759386; 132.4; 0.2966;   0.482;    63.8;    45.401;  123.855;      ; 274.24;    0.00;  34.92; 0.080;  967
1eRASS J000439.7-770812;001.16570279952;-77.13671328427; 172.6; 0.3306;   0.249;    42.9;    22.593;   90.706;  2.06; 237.05;  561.94;  25.41; 0.088;  859
1eRASS J000446.1-345854;001.19245842590;-34.98191893344;  83.0; 0.2879;   0.335;    27.8;    31.679;   78.489;      ; 187.31;    0.00;  22.63; 0.080;  840
1eRASS J000450.0-691149;001.20857769561;-69.19708351276; 167.2; 0.6003;   0.071;    11.9;     6.625;   90.507;      ;  26.90;    0.00;  19.30; 0.017;  705
1eRASS J000454.3-680204;001.22644689336;-68.03445093711; 164.4; 0.2036;   0.043;     7.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000508.7-614657;001.28655004517;-61.78254243889; 147.3; 0.0951;   0.928;   136.7;    81.440;   20.773;  1.18;  89.43;  106.50;  14.91; 0.060;  782
1eRASS J000517.0-374903;001.32106175955;-37.81755881054;  93.1; 0.8734;   0.133;    12.4;    12.496;  392.493;      ;  97.23;    0.00;  27.20; 0.040;  710
1eRASS J000540.6-534850;001.41932512666;-53.81416460105; 128.7; 0.0368;   2.509;   322.9;   222.756;    7.705;  1.37;  40.27;   54.18;   8.83; 0.045;  669
1eRASS J000546.1-375131;001.44220279572;-37.85864460327;  95.4; 0.4859;   0.399;    38.0;    38.056;  299.272;      ; 449.48;    0.00;  46.41; 0.096;  989
1eRASS J000557.9-562841;001.49151958870;-56.47823853966; 136.8; 0.2912;   0.841;   115.1;    79.986;  205.207;      ; 394.10;    0.00;  51.97; 0.074; 1107
1eRASS J000559.2-344311;001.49685509510;-34.71975918319;  78.5; 0.1138;   5.452;   428.1;   519.745;  179.582;      ; 580.65;    0.00;  56.60; 0.104; 1213
1eRASS J000607.8-513332;001.53276361915;-51.55897233415; 125.6; 0.1249;   0.372;    46.7;    32.831;   13.495;  1.28;  42.73;   53.25;   9.37; 0.045;  663
1eRASS J000612.4-384309;001.55192195899;-38.71922045223;  93.3; 0.2003;   0.146;    13.7;    13.722;   15.882;      ;  18.17;    0.00;   8.33; 0.023;  621
1eRASS J000621.7-375141;001.59044983741;-37.86153596911;  93.7; 0.8582;   0.062;     5.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000625.9-834831;001.60793907378;-83.80862974439; 185.5; 0.1647;   0.038;     7.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000653.2-642333;001.72195470094;-64.39250238163; 141.0; 1.1641;   0.013;     1.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000654.8-503210;001.72864623993;-50.53637641722; 123.4; 0.1196;   0.601;    74.2;    56.264;   21.800;      ;  81.35;    0.00;  13.12; 0.060;  743
1eRASS J000658.5-405922;001.74387984412;-40.98945531281;  98.2; 0.1599;   0.751;    73.7;    72.238;   49.398;      ; 177.11;    0.00;  22.89; 0.076;  883
1eRASS J000701.9-470640;001.75797847487;-47.11120809245; 105.5; 0.4775;   0.464;    48.9;    42.550;  357.782;  1.41; 684.51; 1096.47;  55.18; 0.125; 1051
1eRASS J000708.8-453029;001.78693890102;-45.50821823974; 104.3; 0.3989;   0.096;    10.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000726.1-583908;001.85911744498;-58.65236812552; 139.4; 0.2828;   0.230;    32.1;    21.505;   51.404;      ; 132.03;    0.00;  17.45; 0.072;  772
1eRASS J000749.0-595136;001.95438491159;-59.86010095120; 135.0; 0.2545;   0.198;    26.7;    18.589;   35.001;      ;  98.88;    0.00;  13.24; 0.076;  711
1eRASS J000753.4-431411;001.97284216955;-43.23659077801;  98.1; 0.1244;   0.182;    17.9;    15.445;    7.274;  0.32;  16.48;    6.08;   4.87; 0.034;  534
1eRASS J000756.3-770836;001.98491166152;-77.14346842351; 170.8; 0.1968;   0.257;    43.9;    23.515;   29.915;  1.22;  70.04;  135.83;  14.53; 0.047;  749
1eRASS J000802.8-393218;002.01186433650;-39.53858996145;  94.0; 0.7141;   0.023;     2.2;     2.742;  117.220;      ;  16.99;    0.00;  13.55; 0.016;  599
1eRASS J000820.1-531809;002.08394840586;-53.30267447877; 128.6; 0.3386;   0.123;    15.8;    11.459;   42.519;      ;  50.54;    0.00;  13.31; 0.042;  691
1eRASS J000833.6-423627;002.14007425555;-42.60761217908;  99.6; 1.1166;   0.100;    10.0;     9.294;  523.767;      ; 201.66;    0.00;  25.40; 0.078;  631
1eRASS J000842.4-570213;002.17679438846;-57.03711981386; 134.9; 0.0310;   2.813;   379.5;   252.219;    6.013;  1.26;  39.11;   51.11;   7.08; 0.055;  623
1eRASS J000843.9-381006;002.18317846754;-38.16835262406;  95.5; 0.7530;   0.133;    12.7;    12.366;  300.905;  1.98; 130.27;  394.06;  26.27; 0.055;  736
1eRASS J000853.9-721017;002.22487942667;-72.17150105501; 159.0; 0.2163;   0.209;    33.2;    19.872;   28.670;      ; 100.83;    0.00;  12.67; 0.075;  711
1eRASS J000922.9-682113;002.34541820479;-68.35385913205; 165.7; 0.6463;   0.399;    66.1;    37.670;  688.607;      ; 437.76;    0.00;  67.40; 0.064; 1051
1eRASS J000923.7-704344;002.34885239885;-70.72915702440; 149.6; 0.7168;   0.060;     9.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J000946.6-351632;002.44432395869;-35.27576639971;  81.8; 0.0500;   2.086;   170.7;   187.591;   11.727;  1.20;  53.14;   67.33;  10.72; 0.050;  711
1eRASS J000949.4-592854;002.45620919982;-59.48177839131; 144.0; 0.2600;   0.175;    25.2;    16.397;   32.145;      ;  59.65;    0.00;  12.27; 0.046;  692
1eRASS J000956.9-353948;002.48733778153;-35.66354614143;  79.8; 0.1214;   1.339;   106.8;   127.173;   49.251;      ; 188.54;    0.00;  23.43; 0.080;  901
1eRASS J000958.1-642738;002.49216845017;-64.46073926393; 145.2; 0.1198;   0.800;   116.3;    76.355;   29.463;      ;  98.54;    0.00;  16.79; 0.058;  807
1eRASS J001053.4-341319;002.72278152192;-34.22221196270;  91.2; 0.0986;   0.752;    68.6;    68.210;   17.685;  1.35;  51.20;   75.00;  11.75; 0.043;  722
1eRASS J001058.6-511214;002.74427938402;-51.20416113404; 124.9; 0.2123;   0.971;   121.4;    91.932;  119.758;  3.85; 285.65; 1122.73;  39.72; 0.071; 1041
1eRASS J001100.2-832019;002.75106268800;-83.33883002942; 185.5; 0.4556;   0.094;    17.5;     8.299;   86.889;  1.26;  22.07;   46.01;  23.98; 0.013;  803
1eRASS J001103.4-493406;002.76424486467;-49.56847215034; 121.1; 0.7592;   0.102;    12.4;     9.588;  217.912;      ; 157.33;    0.00;  21.79; 0.076;  690
1eRASS J001137.9-662748;002.90810743400;-66.46347143388; 148.0; 0.1868;   0.370;    54.8;    35.498;   33.192;      ; 119.66;    0.00;  16.05; 0.071;  777
1eRASS J001148.3-421552;002.95153894574;-42.26458389727;  97.1; 0.0852;   1.036;   100.6;    95.815;   18.225;  1.57;  66.44;  110.96;  12.41; 0.053;  738
1eRASS J001153.0-810910;002.97093778766;-81.15288667741; 182.4; 0.1233;   0.827;   150.8;    79.266;   36.289;      ; 151.80;    0.00;  20.61; 0.073;  863
1eRASS J001209.6-353723;003.04014737473;-35.62322472858;  87.4; 0.6891;   0.408;    35.7;    37.563;  743.259;  1.70; 760.95; 1385.60;  61.37; 0.121; 1001
1eRASS J001214.0-535140;003.05872952025;-53.86132648716; 131.4; 0.3368;   0.321;    42.2;    30.183;  111.092;      ; 224.58;    0.00;  27.85; 0.076;  884
1eRASS J001221.6-334703;003.09029008133;-33.78442961304;  90.4; 0.6602;   0.184;    16.6;    17.429;  275.116;      ; 320.71;    0.00;  30.64; 0.095;  804
1eRASS J001235.0-781037;003.14583516598;-78.17704526736; 176.5; 0.2101;   0.171;    30.1;    15.172;   24.442;      ;  26.75;    0.00;  10.67; 0.025;  672
1eRASS J001237.6-634441;003.15703506502;-63.74484881837; 144.6; 0.5103;   0.117;    16.9;    11.107;  101.346;      ; 127.32;    0.00;  20.36; 0.062;  744
1eRASS J001237.9-672909;003.15818464874;-67.48604167654; 148.5; 0.3567;   0.183;    27.2;    17.217;   70.359;      ; 114.98;    0.00;  19.83; 0.051;  783
1eRASS J001238.3-501730;003.15967784313;-50.29183810266; 125.0; 0.1442;   0.424;    53.0;    37.352;   22.560;      ;  90.64;    0.00;  12.55; 0.071;  727
1eRASS J001250.4-691851;003.21006525318;-69.31424365973; 165.5; 0.2444;   0.202;    33.5;    19.136;   31.668;      ; 112.23;    0.00;  13.81; 0.080;  724
1eRASS J001251.2-664600;003.21365163079;-66.76677543549; 153.5; 0.3497;   0.019;     3.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001253.0-374420;003.22101749692;-37.73898824785;  84.2; 0.3691;   0.214;    18.0;    20.457;   86.753;      ;  63.59;    0.00;  19.46; 0.034;  775
1eRASS J001318.5-490651;003.32740758130;-49.11417877245; 112.1; 0.4075;   1.032;   115.7;    94.933;  557.152;  2.26; 802.19; 1880.43;  84.91; 0.094; 1247
1eRASS J001320.1-411351;003.33399018052;-41.23107733854;  99.4; 0.3222;   0.132;    13.1;    13.001;   65.886;  0.24;   9.01;    3.20;  17.57; 0.008;  762
1eRASS J001335.3-344310;003.39733182393;-34.71958653639;  91.5; 0.1111;   0.795;    72.7;    75.464;   24.338;      ;  84.53;    0.00;  14.74; 0.054;  775
1eRASS J001338.2-324019;003.40944760819;-32.67210792372;  89.1; 0.2641;   0.096;     8.6;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001340.3-322452;003.41794374093;-32.41469744993;  90.5; 0.2643;   0.701;    63.5;    67.429;  135.736;      ; 294.11;    0.00;  38.06; 0.077; 1008
1eRASS J001351.1-695439;003.46298645560;-69.91107079769; 174.3; 0.3810;   0.273;    47.6;    25.913;  129.454;      ; 285.99;    0.00;  30.81; 0.090;  899
1eRASS J001352.3-462156;003.46820507811;-46.36560446223; 106.3; 0.2006;   0.639;    67.9;    55.666;   73.513;  1.18; 220.32;  262.84;  27.19; 0.081;  922
1eRASS J001356.5-720648;003.48553024116;-72.11349472370; 160.9; 0.3930;   0.122;    19.7;    11.008;   67.806;      ;  60.02;    0.00;  16.86; 0.036;  732
1eRASS J001412.2-334800;003.55101709561;-33.80015988958;  90.9; 0.3960;   0.232;    21.0;    21.883;  111.921;      ;  56.26;    0.00;  22.98; 0.025;  810
1eRASS J001416.4-660420;003.56834705411;-66.07242817052; 140.2; 0.1600;   2.900;   406.7;   266.572;  203.647;  2.35; 371.50;  822.36;  58.03; 0.064; 1204
1eRASS J001417.9-842144;003.57496626787;-84.36247348154; 190.5; 0.7173;   0.155;    29.5;    13.549;  422.529;      ; 533.94;    0.00;  42.81; 0.123;  878
1eRASS J001426.6-690700;003.61114309893;-69.11669754586; 163.6; 0.2405;   0.061;    10.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001438.0-511202;003.65862302123;-51.20059038047; 126.7; 0.0848;   0.165;    20.9;    14.934;    2.815;      ;   7.78;    0.00;   3.03; 0.027;  461
1eRASS J001440.4-754547;003.66860051840;-75.76314976659; 165.1; 0.3849;   0.173;    28.6;    15.868;   90.198;      ; 140.63;    0.00;  21.97; 0.061;  802
1eRASS J001444.6-495238;003.68617744800;-49.87725630690; 117.0; 0.7421;   0.404;    47.3;    38.247;  756.061;      ; 868.42;    0.00;  67.11; 0.127; 1010
1eRASS J001448.1-401633;003.70070974662;-40.27600396281;  97.0; 0.5051;   0.097;     9.4;     9.172;   77.755;      ;  46.74;    0.00;  14.96; 0.033;  673
1eRASS J001509.4-500407;003.78931806560;-50.06874934700; 120.4; 0.9378;   0.207;    24.9;    18.753;  855.948;  1.47; 453.88;  659.73;  42.92; 0.097;  806
1eRASS J001547.9-621335;003.94983891320;-62.22648527504; 147.3; 0.4319;   0.075;    11.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001604.6-405946;004.01925047460;-40.99630924888; 100.1; 0.2122;   0.200;    20.1;    18.356;   24.615;      ;  68.82;    0.00;  12.26; 0.055;  704
1eRASS J001616.2-462336;004.06758126680;-46.39338204734; 106.8; 0.2020;   0.568;    60.7;    54.239;   65.028;      ; 210.42;    0.00;  25.23; 0.084;  899
1eRASS J001625.9-542926;004.10821814669;-54.49066209449; 134.1; 0.3219;   0.162;    21.8;    14.930;   51.236;      ; 143.30;    0.00;  16.64; 0.084;  749
1eRASS J001642.0-765108;004.17528675230;-76.85240282064; 163.6; 0.5350;   0.319;    52.2;    30.224;  318.380;      ; 604.64;    0.00;  51.87; 0.116; 1007
1eRASS J001643.3-560903;004.18043842050;-56.15106664965; 136.8; 0.8834;   0.116;    15.9;    10.807;  355.865;      ; 336.23;    0.00;  29.98; 0.107;  730
1eRASS J001734.1-351148;004.39240002252;-35.19687399211;  92.5; 0.0949;   3.039;   281.1;   279.989;   68.482;  1.80; 262.64;  484.15;  32.83; 0.080; 1018
1eRASS J001755.5-773131;004.48152300813;-77.52532779124; 176.6; 0.9801;   0.079;    14.0;     7.506;  321.055;      ;  68.46;    0.00;  22.97; 0.033;  643
1eRASS J001812.7-550412;004.55291824537;-55.07014988586; 134.2; 0.3987;   0.180;    24.2;    16.849;   91.349;      ; 183.28;    0.00;  22.18; 0.076;  800
1eRASS J001829.4-390533;004.62291089951;-39.09271711262;  82.3; 0.2206;   0.106;     8.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001838.1-614225;004.65876090770;-61.70695398245; 134.4; 0.5026;   0.043;     5.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001838.2-415336;004.65931061557;-41.89338866960;  98.0; 0.0930;   1.086;   106.5;   100.261;   22.712;  1.70;  86.84;  166.67;  13.69; 0.063;  761
1eRASS J001844.2-535056;004.68431749719;-53.84912830059; 131.1; 0.1016;   0.067;     8.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001853.8-732433;004.72424648940;-73.40934946194; 144.4; 0.2022;   0.279;    40.2;    26.455;   38.850;      ; 115.37;    0.00;  16.17; 0.069;  775
1eRASS J001855.6-355136;004.73167996812;-35.86013632394;  93.9; 0.0997;   0.096;     9.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001900.6-405140;004.75285592745;-40.86112470334;  99.1; 0.4713;   0.555;    55.0;    53.671;  378.572;      ; 682.05;    0.00;  59.52; 0.112; 1081
1eRASS J001901.3-764147;004.75542415352;-76.69650524979; 165.4; 0.2233;   0.917;   151.7;    87.129;  137.731;      ; 437.93;    0.00;  45.13; 0.096; 1082
1eRASS J001904.5-541737;004.76898170330;-54.29374365153; 135.0; 0.4763;   0.094;    12.7;     8.735;   70.425;      ;  53.34;    0.00;  13.78; 0.039;  662
1eRASS J001912.8-533912;004.80346130679;-53.65339070731; 132.5; 0.0803;   0.152;    20.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J001919.1-552710;004.82994445515;-55.45295610296; 136.8; 0.9237;   0.118;    16.1;    10.859;  410.228;  1.76;  41.62;  164.34;  27.61; 0.017;  699
1eRASS J001920.8-680320;004.83707518905;-68.05578397558; 155.1; 0.0949;   0.262;    40.6;    24.141;    6.041;      ;  23.67;    0.00;   5.48; 0.044;  560
